id,Name,Last_name,Start_work,job_title,devision_job,number_phone
1,Иван,Иванов,13.02.2015,Разнорабочий,Погрузочный цех,9998543456
2,Иван,Пупкин,13.02.2015,Разнорабочий,Погрузочный цех,9993455678
3,Васька,Пупкин,13.04.2014,Начальник цеха,Цех переработк сырья,9205678234 
5,Марья,Петровна,10.09.2010,Главный бухгатер,Бухгалтерия,9345671234
6,Арина,Антонян,20.10.2010,Бухгалтер,Бухгалтерия, 9345671234
7,Карэн,Варданян,13.10.2015,Водитель,Погрузочный цех,9345678913
8,Вазген,Ничипорян,13.07.2014,Крановщик,Погрузочный цех, 9345678913
9,Андрей,Акулов,10.09.2010,Генеральный Директор,Администрация,9999999999
10,Петр,Петров,10.10.2010,Глава отдела разработки,Отдел разработки,9999999991
11,Лион,Лионов,20.10.2010,Разработчик,Отдел разработки,9999999991
12,Ангелина,Лольевна,13.10.2015,Главных технолог,Лаборатория,9999999992
13,Федор,Федоров,20.10.2010,Младший технолог,Лаборатория,9999999992
14,Кирилл,Кириленко,13.07.2014,Оператор,Цех производства кирпичей,9999999993
15,Арина,Вагапова,13.10.2015,Оператор,Цех производства кирпичей,9999999993
16,Иван,Киров,13.07.2014,Погрузчик,Погрузочный цех, 9345678913
17,Федор,Усов,13.07.2014,Глава отдела кадров,Отдел кадров,9999999994
